"nome","descricao","preco","quantidade"
"Camarão ao alho poró","Filé de camarão refogado com alho poró, champignon,  vinho branco e molho bechamel. Acompanha arroz branco e batata chips.","99.9","50"
"Paella","Camarões, Lula, Peixe, Polvo, Mexilhões com e sem casca.","229.9","50"
"Mix de Frutos do Mar Grelhados","Mexilhão sem casca, Camarões, Lula, Cauda de Lagosta, Filé de peixe, Polvo, Mexilhões com casca, Tomate. Acompanha arroz apimentado.","249.9","50"
"Flat iron","O flat iron vem da região do ombro do boi, também conhecida como paleta, e é conhecido pela sua maciez e sabor incrível.\r\n*Paleta fina, sem gordura*\r\nEscolha 2 guarnições.","59.9","50"
"Carne de Sol","","49.95","50"
"Arroz Biro Biro","","9.9","50"
"Arroz Piamontese","","9.9","50"
"Farofa de Ovos","","9.9","50"
"Feijão Tropeiro","","9.9","50"
"Feijão Carioca","","9.9","50"
"Mandioca","","9.9","50"
"Batata Frita","","9.9","50"
"Purê de Batatas","","9.9","50"
"Legumes Salteados","","9.9","50"
"Salada Juliana","Alface americana, cenoura, tomate, palmito, batata palha, queijo\r\nparmesão e molho de mostarda, maionese e mel.","29.9","50"
"Salada LêDulce","Folhas de rúcula, alface americana, lascas de frango defumado, nozes e molho ‘’da chefe’’ com azeite, mostarda, limão, sal e parmesão ralado.","34.9","50"
"Salada tropical com camarões","Mix de folhas, cenoura, tomate cereja, abacaxi grelhado, castanha de caju, camarões grelhados e molho de mostarda e mel.","45.9","50"
"Talharim LêDulce","Talharim a carbonara. \r\n\r\nAlérgicos: contém ovo e bacon. ","39.9","50"
"Espaguete com camarões ao sugo","","49.9","50"
"Espaguete com camarões ao molho branco","","49.9","50"
"Risoto de Filé","","49.9","50"
"Risoto de Camarão","","59.9","50"
"Risoto de carne de sol","","45.9","50"
"Polvo ao molho pesto c/ risoto negro","Tentáculos de polvo grelhados e regados ao molho pesto de manjericão. Acompanha risoto negro de parmesão.","89.9","50"
"Risoto camarão ao alho poró","","59.9","50"
"LêDulcinha de Frango","Filezinho de frango empanado, arroz branco, feijão carioca e fritas.","29.9","50"
"LêDulcinha de Carne","Filezinho de mignon, arroz branco, feijão carioca e fritas)","29.9","50"
"LêDulcinha de Massa","Espaguetinho ao molho sugo com carne moída.","29.9","50"
"ESPAGUETE DE ABOBRINHA AO MOLHO SUGO DE CASA E CRÓTONS DE CARNE DE SOJA","","29.9","50"
"LASANHA DE BERINJELA COM PALMITO","","29.9","50"
"Churros com Doce de Leite","","29.9","50"
"Cocada LêDulce com sorvete","","24.9","50"
"Cheesecake de frutas vermelhas","Torta de queijo e calda de frutas vermelhas.","29.9","50"
"Pudim","Pudim de leite condensado","14.9","50"
"Suspiro Lêdulce","Creme de ninho em camadas com geleia de morango e suspiros.","29.9","50"
"Petit Gatêau de Chocolate","Bolinho cremoso de chocolate acompanhado de sorvete de creme.","24.9","50"
"Baked gelaska","Sorvete de creme recheado com geleia de morango e merengue suíço flamejado no topo.","25.9","50"
"Refrigerantes","","7.9","50"
"Suco Detox","Couve com Laranja e Gengibre (500ML)\r\nOu\r\nAbacaxi, Água de coco e Hortelã (500ML","15.9","50"
"Soda Italiana","Frutas Vermelhas, Maçã Verde ou Tangerina","22.9","50"
"Água com gás","","7.9","50"
"Água sem gás","","6.9","50"
"Água de Côco","","9.9","50"
"Água Tônica","","7.9","50"
"Schweppes Citrus","","7.9","50"
"Café Expresso","","5.9","50"
"H2O / H2O Limoneto","","9.9","50"
"Amstel","","14.9","50"
"Antárctica Original","","14.9","50"
"Brahma Duplo Malte","","14.9","50"
"Budweiser","","14.9","50"
"Stella Artois","","15.9","50"
"Heineken","","17.9","50"
"Chopp Brahma (350ML)","","10.9","50"
"Cervejas 0,00 Álcool","","11.9","50"
"Preparo do Cozumel","","10.9","50"
"Limão Espremido","","2.9","50"
"Budweiser","","11.9","50"
"Corona Extra","","12.9","50"
"Heineken","","11.9","50"
"Stella Artois","","11.9","50"
"Pina Colada","Rum Bacardi, purê de côco e suco de abacaxi","23.9","50"
"Mojito Clássico","Rum Bacardi xarope simples, hortelã, suco de limão e água com gás","22.9","50"
"Cozumel","375 ml cerveja ou chopp, suco de limão, gelo e sal na borda do copo","21.9","50"
"Cuervo Margarita","Tequila, licor Cointreau , suco de limão","23.9","50"
"Aperol Spritz","Aperol, Espumante, Laranja,bahia, água com gás","27.9","50"
"Refresco","Monin Gengibre, suco limão, Monin maça verde,\r\nAgua com gás, rodelas limão siciliano","19.9","50"
"GT Red","Monin cranberry, hibisco desidratado, limão siciliano, tônica","19.9","50"
"Verão","Monin chá verde, Monin cranberry, rodela limão taiti, água com \r\ngás","19.9","50"
"Caipirinha","Limão, Abacaxi, Abacaxi c/ Hortelã, Frutas Vermelhas, Morango, Maracujá, Cítrico*, Cajú*, Cajá*, Jabuticaba*\r\n\r\n*Verificar Disponibilidade","19.9","50"
"Sake","","19.9","50"
"Arco Íris","Sorvete morango, amora, leite, calda blue,\r\nleite condensado","19.9","50"
"Negroni","Gin, vermouth rosso, campari e laranja","27.9","50"
"TriLêgal","Tequila, cointreau, limão, cranberry, curaçau blue e maçã verde.","25.9","50"
"Clericot","Espumante rosê, suco de laranja, cranberry, morango e maçã verde.","24.9","50"
"Snow","Tequila, suco de limão, curaçau blue e licor fino de pêssego.","25.9","50"
"Rose","Rum, suco de limão e xarope de toranja.","24.9","50"
"Lemon ","Energético monster ice tea lemon, xarope de maçã verde, sumo de limão, alecrim.\r\n\r\n\r\n\r\n","30.9","50"
"Peach","Energético monster ice tea peach, melaço de cana, sumo de limão","24.9","50"
"Caipirinha do sertão ","Caipirinha feita com cachaça 51, limão e rapadura.","22.9","50"
"Campari","","11.9","50"
"Martini Bianco","","11.9","50"
"Rum Bacardi","","11.9","50"
"Tequilo Jose Cuervo Especial GOLD","","18.9","50"
"Tequilo Jose Cuervo Especial SILVER","","18.9","50"
"Cachaça São Francisco","","9.9","50"
"Cachaça Seleta","","9.9","50"
"Cachaça de Banana","","10.9","50"
"Cachaça Germana","","14.9","50"
"Cachaça Vale Verde","","13.9","50"
"Cachaça Sagatiba","","9.9","50"
"Cachaça ParaTudo","","7.9","50"
"Chivas Regal","","22.9","50"
"Jack Daniel's","","22.9","50"
"Johnnie Walker Black Label","","24.9","50"
"Johnnie Walker Red Label","","19.9","50"
"Old Parr","","22.9","50"
"Absolut","","19.9","50"
"Smirnoff","","14.9","50"
"Tanqueray","","20.9","50"
"Amarula","","19.9","50"
"Cointreau","","19.9","50"
"Licor 43","","19.9","50"
"Red Bull","","15.9","50"
"Combo Smirnoff + 6 red bull","","179.9","50"
"Combo Absolut + 6 red bull","","249.9","50"
"Combo Tanqueray + 6 red bull","","299.9","50"
"Combo Chivas + 6 red bull","","349.9","50"
"Combo Old par + 6 red bull","","349.9","50"
"Combo Jack Daniel's + 6 red bull","","349.9","50"
"Combo Red Label + 6 red bull","","269.9","50"
